会社名,代表者,HP,電話番号,住所,会社メール,その他連絡方法,営業担当名,初回コンタクト日,属性,確度,状況,備考,掲載サイト,2回目以降最新コンタクト日
データライズ,,https://www.datalyze.co.jp/partner/,03-6809-5687,〒108-0014 東京都港区芝5-36-4 札の辻スクエア9階,contact@datalyze.co.jp,https://www.datalyze.co.jp/inquiry/,経岩宗高,,開発（エージェント）,E：未接触,未契約,,,
大京システム株式会社,,https://u-dsk.co.jp/,06-6441-5815,〒550-0002 大阪市西区江戸堀１丁目９番１号 肥後橋センタービル８階,,https://u-dsk.co.jp/contact/,経岩宗高,,開発（プロダクト）,E：未接触,未契約,,,
SuperSoftware,,https://www.supersoftware.co.jp/company/contact/,06-4707-6001,〒530-0005 大阪市北区中之島2丁目3番18号 中之島フェスティバルタワー20階,info@supersoftware.co.jp,https://www.supersoftware.co.jp/company/contact/,経岩宗高,,開発（プロダクト）,E：未接触,未契約,,,
スミセイ情報システム株式会社,,https://txhb.f.msgs.jp/,"06-6396-3939
03-3348-6388","〒532-0003 大阪市淀川区宮原4-1-14 住友生命新大阪北ビル
〒160-0023東京都新宿区西新宿6-14-1 新宿グリーンタワービル",slc_info@slcs.co.jp,https://www.slcs.co.jp/contact/index.html,経岩宗高,,Sier・コンサル,E：未接触,未契約,,,
クリーブウェア,,https://www.cleaveware.com/,06-6940-6706,〒531-0072 大阪府大阪市北区豊崎 3-20-12 パールグレイビル9F,,https://www.cleaveware.com/contact,経岩宗高,,開発（プロダクト）,E：未接触,未契約,,,
アークリバティ,,https://www.arcliberty.jp/partners/,03-5337-8661,〒160-0023東京都新宿区西新宿8丁目13番11号N.F.ビル1F-B,,https://www.arcliberty.jp/contact/,経岩宗高,,開発（プロダクト）,E：未接触,未契約,SESもあり,,
イーヴンPLUS,,https://www.even.co.jp/development/index1.html,055-952-6030,〒410-0871 静岡県沼津市西間門2丁目3番地の5,,https://www.even.co.jp/contact/index.html,経岩宗高,,開発（エージェント）,E：未接触,未契約,,,
アイスペック・ビジネスブレイン株式会社,,https://isbb.co.jp/partner/,03-6698-3343,〒160-0023 東京都新宿区西新宿7-5-14 井上ビル12号館2F,,https://isbb.co.jp/request/,経岩宗高,,開発（プロダクト）,E：未接触,未契約,SESもあり,,
株式会社ビーブレイクシステムズ,,https://www.bbreak.co.jp/company_profile/partner_r.html,03-5422-6313,〒141-0022 東京都品川区東五反田2-10-2 東五反田スクエア5階,partner@bbreak.co.jp,https://www.bbreak.co.jp/mail_info.html,経岩宗高,,開発（エージェント）,E：未接触,未契約,,,
東証コンピュータシステム,,https://www.tcs.co.jp/partner/,03-6458-5170,東京都港区虎ノ門5-13-1　虎ノ門40MTビル 8F,,,経岩宗高,,Sier・コンサル,E：未接触,未契約,SESもあり,,
三鋭システム,,https://www.sanei-system.co.jp/offer_partner/,03-5807-8180,〒101-0021 東京都千代田区外神田5-1-3 ニュー末広ビル6階,,https://www.sanei-system.co.jp/contact/,経岩宗高,,開発（プロダクト）,E：未接触,未契約,SESもあり,,
日本デジコム,,https://www.digicomnet.co.jp/partner/,053-450-3210,〒430-0917 静岡県浜松市中区常盤町2-4 ND MARKS BLD.,,https://www.digicomnet.co.jp/inquiry/,経岩宗高,,開発（プロダクト）,E：未接触,未契約,,,
株式会社NIT,,https://www.nit2008.com/partner.html,03-5829-8971,〒105-0014東京都港区芝一丁目15番14号 オフィスニューガイア浜松町No.16,,https://www.nit2008.com/contact.html,経岩宗高,,開発,E：未接触,未契約,,,
プライムメイト,,https://primemate.jp/partnership/,045-459-9591,神奈川県横浜市保土ケ谷区星川1丁目7番23-203,,https://primemate.jp/contact/,経岩宗高,,開発,E：未接触,未契約,,,
株式会社コア,,https://www.core.co.jp/company/partnership,03-3795-5111,東京都世田谷区三軒茶屋1丁目22番3号,,https://www.core.co.jp/site/contact,経岩宗高,,Sier・コンサル,E：未接触,未契約,,,
株式会社ＣＢＩＴ,,https://www.cbit.co.jp/partner/,03-5298-2020,〒101-0021 東京都千代田区外神田2-9-8 ユニオンビル細野 ８Ｆ,,https://www.cbit.co.jp/inquiry/input.php,経岩宗高,,開発（プロダクト）,E：未接触,未契約,,,
みんなの未来株式会社,,https://yourfuture.jp/partner,03-5829-9519,〒103-0001 東京都中央区日本橋小伝馬町15番17号　ASK日本橋ビル5階,toiawase@yourfuture.jp,https://yourfuture.jp/contact,経岩宗高,,開発（プロダクト）,E：未接触,未契約,SESもあり,,
ユーズテック,,https://www.use-tech.co.jp/index.php?%E3%83%91%E3%83%BC%E3%83%88%E3%83%8A%E3%83%BC%E4%BC%81%E6%A5%AD%E5%8B%9F%E9%9B%86,048-485-1527,〒351-0112 埼玉県和光市丸山台3丁目15-12 ヴェルシェ和光102,info@use-tech.co.jp,,経岩宗高,,Sier・コンサル,E：未接触,未契約,SESもあり,,
協立電子,,https://www.kec-x.co.jp/businesspartner.html,044-863-4020,〒211-0002 神奈川県川崎市中原区 上丸子山王町2丁目1329番地,,https://www.kec-x.co.jp/confirm.html,経岩宗高,,開発（エージェント）,E：未接触,未契約,,,
Sus4,,https://sus-4.com/partner/,,〒171-0052 東京都豊島区南長崎2-21-7,,https://sus-4.com/contact/,経岩宗高,,Sier・コンサル,E：未接触,未契約,SESもあり,,
イーブルーウェーブ,,https://e-bluewave.com/partner.html,06-6147-8268,〒531-0072 大阪市北区豊崎３丁目２０－９ 三栄ビル３Ｆ,,https://e-bluewave.com/contact_us.html,経岩宗高,,開発（プロダクト）,E：未接触,未契約,,,
大塚商会,,https://www.otsuka-shokai.co.jp/,03-3264-7111,〒102-8573 東京都千代田区飯田橋2-18-4,,https://www.otsuka-shokai.co.jp/contact/,経岩宗高,,Sier・コンサル,E：未接触,未契約,お問い合わせ窓口なし,,
BIPROGY,,https://www.biprogy.com/,03-5546-4111,〒135-8560 東京都江東区豊洲1-1-1,,https://contact-e.biprogy.com/hc/en-us/requests/new?ticket_form_id=7787529301647&tf_7811229533839=general_inquiries,経岩宗高,,Sier・コンサル,E：未接触,未契約,お問い合わせ窓口なし,,
オービック,,https://www.obic.co.jp/,03-3245-6500,〒104-8328 東京都中央区京橋2-4-15 オービックビル,,https://www01.obic.co.jp/Scripts/Page/EditUserInfo.aspx?QuestionnairePatternCD=QPcontact01&RequestType=Contact&MessageCD=Msg_con01,経岩宗高,,Sier・コンサル,E：未接触,未契約,,,
ユニアデックス,,https://www.uniadex.co.jp/,03-5546-4900,〒135-8560 東京都江東区豊洲1-1-1,,https://www.uniadex.co.jp/contact.html,経岩宗高,,Sier・コンサル,E：未接触,未契約,BIPROGYの子会社,,
ネットワンシステムズ,,https://www.netone.co.jp/,03-6256-0600,〒100-7024 東京都千代田区丸の内二丁目7番2号 JPタワー,,https://www.netone.co.jp/contact/,経岩宗高,,Sier・コンサル,E：未接触,未契約,,,
JBCCホールディングス,,https://www.jbcchd.co.jp/index.html,,〒104-0028　東京都中央区八重洲二丁目２番１号　東京ミッドタウン八重洲　八重洲セントラルタワー１３階,,https://www.jbcchd.co.jp/contact.html,経岩宗高,,Sier・コンサル,E：未接触,未契約,,,
ビジネスエンジニアリング,,https://www.b-en-g.co.jp/,03-3510-1600,"東京都千代田区大手町1-8-1 KDDI大手町ビル
Tel:03-3510-1600 Fax:03-3510-1624",,https://www.b-en-g.co.jp/jp/contact/,経岩宗高,,Sier・コンサル,E：未接触,未契約,,,
テクマトリックス,,https://www.techmatrix.co.jp/index.html,03-4405-7800,〒108-8588 東京都港区港南1-2-70 品川シーズンテラス 24F,,https://www.techmatrix.co.jp/contact.html,経岩宗高,,Sier・コンサル,E：未接触,未契約,お問い合わせ窓口なし,,
インターネットイニシアティブ,,https://www.iij.ad.jp/,03-5205-6500,〒102-0071 東京都千代田区富士見2-10-2　飯田橋グラン・ブルーム,,https://www.iij.ad.jp/contact/,経岩宗高,,Sier・コンサル,E：未接触,未契約,お問い合わせ窓口なし,,
エクシオグループ,,https://www.exeo.co.jp/contact_us/contact/requestinquiry/done.html,03-5778-1111,"東京都渋谷区渋谷3丁目29番20号
電話（03）5778-1111（代表）",,,経岩宗高,,Sier・コンサル,E：未接触,未契約,,,
ラック,,https://www.lac.co.jp/,,〒102-0093　東京都千代田区平河町2丁目16番1号 平河町森タワー,,https://www.lac.co.jp/contact.html,経岩宗高,,Sier・コンサル,E：未接触,未契約,お問い合わせ窓口なし,,
インテック,,https://www.intec.co.jp/,,"〒930-8577　富山県富山市牛島新町5-5
〒160-0023　東京都新宿区西新宿8-17-1住友不動産新宿グランドタワー",,https://www.intec.co.jp/inquiry/,経岩宗高,,Sier・コンサル,E：未接触,未契約,,,
クオリカ,,https://www.qualica.co.jp/,03-5937-0700,〒160-0023 東京都新宿区西新宿8-17-1 住友不動産新宿グランドタワー23F,,https://reg34.smp.ne.jp/regist/is?SMPFORM=mbpb-mcnht-fe088b851dfd5e08fc618c5db46c5974&_ga=2.132642382.1758406350.1715306694-488791969.1715306694,経岩宗高,,Sier・コンサル,E：未接触,未契約,お問い合わせ窓口なし,,
シーイーシー,,https://www.cec-ltd.co.jp/,03-5789-2441,〒150-0022　東京都渋谷区恵比寿南1-5-5 JR恵比寿ビル,,https://www.cec-ltd.co.jp/inquiry/,経岩宗高,,Sier・コンサル,E：未接触,未契約,お問い合わせ窓口なし,,
アイネス,,https://www.ines.co.jp/,,東京都中央区日本橋蛎殻町一丁目38番11号,,https://www.ines.co.jp/contact.html,経岩宗高,,Sier・コンサル,E：未接触,未契約,,,
情報技術開発,,https://www.tdi.co.jp/,03-5325-4811,〒163-1332東京都新宿区西新宿六丁目5番1号新宿アイランドタワー32階,,https://www.tdi.co.jp/inquiry/,経岩宗高,,Sier・コンサル,E：未接触,未契約,,,
NSD,,https://www.nsd.co.jp/,03-3257-1130,〒101-0063東京都千代田区神田淡路町二丁目101番地 ワテラスタワー,,https://www.nsd.co.jp/inquiry/,経岩宗高,,Sier・コンサル,E：未接触,未契約,,,
サイバネットシステム,,https://www.cybernet.co.jp/,,〒101-0022東京都千代田区神田練塀町3番地 富士ソフトビル,,https://www.cybernet.co.jp/contact//,経岩宗高,,Sier・コンサル,E：未接触,未契約,お問い合わせ窓口なし,,
リンクレア,,https://www.lincrea.co.jp/,03-6821-5111,〒108-0075 東京都港区港南2丁目16番3号品川グランドセントラルタワー23F,,https://www.lincrea.co.jp/contact/,経岩宗高,,Sier・コンサル,E：未接触,未契約,,,
,,,,,,,,,,,,,,
NCS&A,,https://ncsa.jp/,06-6443-1991,〒530-6112大阪市北区中之島三丁目3番23号（中之島ダイビル12階）,,https://ncsa.jp/contact,経岩宗高,,Sier・コンサル,E：未接触,未契約,お問い合わせ窓口なし,,
アグレックス,,https://www.agrex.co.jp/,,〒163-1438 東京都新宿区西新宿3-20-2　東京オペラシティビル38F,,https://www.agrex.co.jp/inquiry/,経岩宗高,,Sier・コンサル,E：未接触,未契約,お問い合わせ窓口なし,,
ソリトンシステムズ,,https://www.soliton.co.jp/,03-5360-3811,〒160-0022東京都新宿区新宿 2-4-3,,https://www.soliton.co.jp/contact/,経岩宗高,,Sier・コンサル,E：未接触,未契約,,,
日本事務器,,https://www.njc.co.jp/,03-3292-1511,〒151-0071　東京都渋谷区本町三丁目12番1号 住友不動産西新宿ビル6号館（受付11F）,,https://www.njc.co.jp/contact,経岩宗高,,Sier・コンサル,E：未接触,未契約,,,
システムインテグレータ,,https://corporate.sint.co.jp/,,〒330-6032埼玉県さいたま市中央区新都心11番地2 ランド・アクシス・タワー（明治安田生命さいたま新都心ビル）32階,,https://corporate.sint.co.jp/contact,経岩宗高,,開発（プロダクト）,E：未接触,未契約,ダナンに子会社があり,,
ODKソリューションズ,,https://www.odk.co.jp/,,大阪府大阪市中央区道修町1-6-7 JMFビル北浜 01,,https://www.odk.co.jp/inquiry/,経岩宗高,,開発（プロダクト）,E：未接触,未契約,お問い合わせ窓口なし,,
SRA,,https://www.sra-hd.co.jp/,03-5979-2666,〒171-0022　東京都豊島区南池袋2-32-8,,https://www.sra-hd.co.jp/info/contact.html,経岩宗高,,Sier・コンサル,E：未接触,未契約,,,
DTS,,https://www.dts.co.jp/,03-3948-5488,〒104-0032 東京都中央区八丁堀2-23-1エンパイヤビル（受付8階）,,https://www.dts.co.jp/inquiry/,経岩宗高,,Sier・コンサル,E：未接触,未契約,,,
システムエンタープライズ,,,,,,,経岩宗高,,,E：未接触,未契約,,,
セック,,https://sec-i.co.jp/,03-3553-7011,〒104-0032 東京都中央区八丁堀4-6-1 八丁堀センタービル,,https://sec-i.co.jp/contact/index.html,経岩宗高,,その他,E：未接触,未契約,,,
TDCソフト,,https://www.tdc.co.jp/,03-6730-8111,〒102-0074 東京都千代田区九段南1-6-5 九段会館テラス4階、5階（総合受付4階）,,https://www.tdc.co.jp/contact/,経岩宗高,,Sier・コンサル,E：未接触,未契約,,,
アイ・エス・ビー,,https://www.isb.co.jp/,03-3490-1761,〒141-0032 東京都品川区大崎5-1-11 住友生命五反田ビル 1階（受付）,,https://www.isb.co.jp/contact-us/,経岩宗高,,Sier・コンサル,E：未接触,未契約,,,
ベース,,https://www.basenet.co.jp/,03-5207-5112,〒101-0021東京都千代田区外神田4-14-1 秋葉原UDX8階,,,経岩宗高,,Sier・コンサル,E：未接触,未契約,,,
ミロク情報サービス,,https://www.mjs.co.jp/,03-5361-6369,〒160-0004 東京都新宿区四谷4-29-1,,https://www.mjs.co.jp/contact/,経岩宗高,,Sier・コンサル,E：未接触,未契約,,,
鈴与シンワート,,https://www.shinwart.co.jp/,03-5440-2800,〒108-0014 東京都港区芝4-1-23 三田NNビル22階,,https://www.shinwart.co.jp/inquiry/,経岩宗高,,Sier・コンサル,E：未接触,未契約,,,
SCC,,https://www.scc-kk.co.jp/,03-3319-6611,〒164-8505　東京都中野区中野5-62-1（eDCビル）,,https://www.scc-kk.co.jp/inquiry/,経岩宗高,,開発,E：未接触,未契約,,,
アイネット,,https://www.inet.co.jp/,045-682-0800,〒220-0012 横浜市西区みなとみらい5-1-2　横浜シンフォステージ ウエストタワー13階,,https://www.inet.co.jp/inquiry/,経岩宗高,,Sier・コンサル,E：未接触,未契約,,,
ソルクシーズ,,https://www.solxyz.co.jp/,03-6722-5011,〒108-0023 東京都港区芝浦3-1-21,,https://www.solxyz.co.jp/inquiry/,経岩宗高,,Sier・コンサル,E：未接触,未契約,,,
日本システム技術,,https://www.jast.jp/,03-6718-2771,〒108-8288 東京都港区港南二丁目16番2号（太陽生命品川ビル27階）,,https://www.jast.jp/contact/,経岩宗高,,Sier・コンサル,E：未接触,未契約,,,
電算,,https://www.densan-ginza.co.jp/partner/,0-3572-5975,〒104-0061 東京都中央区銀座8-10-5 電算ビル,,https://www.densan-ginza.co.jp/document-contact/,経岩宗高,,開発（プロダクト）,E：未接触,未契約,,,
ハイマックス,,https://www.himacs.jp/index.php,045-201-6655,	〒220-6216　神奈川県横浜市西区みなとみらい2-3-5 クイーンズタワーC棟16F,,https://www.himacs.jp/contact/index.html,経岩宗高,,Sier・コンサル,E：未接触,未契約,,,
東計電算,,https://www.toukei.co.jp/wp/,044-430-1311,〒211-8550　神奈川県川崎市中原区市ノ坪150,,,経岩宗高,,Sier・コンサル,E：未接触,未契約,,,
東海ソフト,,https://www.tokai-soft.co.jp/,052-300-8330,〒453-0014 名古屋市中村区則武二丁目16番1号,,https://www.tokai-soft.co.jp/inquiry/,経岩宗高,,開発（プロダクト）,E：未接触,未契約,,,
ジャステック,,https://www.jastec.co.jp/,03-3446-0295,〒108-0074 東京都港区高輪3-5-23,,https://www.jastec.co.jp/inquiry/,経岩宗高,,Sier・コンサル,E：未接触,未契約,,,
東邦システムサイエンス,,https://www.tss.co.jp/,03-3868-6060,〒112-0002　東京都文京区小石川1-12-14 日本生命小石川ビル5Ｆ,,https://www.tss.co.jp/contact/tabid/68/Default.aspx,経岩宗高,,Sier・コンサル,E：未接触,未契約,,,
ピーソリッド,,https://www.p-solid.co.jp/partner/,03-6457-3351,〒169-0075 東京都新宿区高田馬場一丁目6番16号ユニオンビル501,,https://www.p-solid.co.jp/contact/,経岩宗高,,開発（エージェント）,E：未接触,未契約,,,
トリトンシステム,,https://triton-sys.co.jp/%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9%E3%83%BB%E3%83%91%E3%83%BC%E3%83%88%E3%83%8A%E3%83%BC%E5%8B%9F%E9%9B%86-for-business-partner/,03-5315-4992,〒 169-0073 東京都 新宿区 百人町 1-20-22 第2ムサシノビル 2階,,https://triton-sys.co.jp/%e3%81%8a%e5%95%8f%e3%81%84%e5%90%88%e3%82%8f%e3%81%9b/,経岩宗高,,開発（プロダクト）,E：未接触,未契約,,,
ネクストロケーション,,https://next-location.com/partner/,03-6869-1887,〒107-0062 東京都港区南青山2丁目2番15号 WinAoyamaビル917,,https://next-location.com/contact/,経岩宗高,,開発（エージェント）,E：未接触,未契約,,,
ナレッジソフト,,https://kn-soft.jp/%e3%83%91%e3%83%bc%e3%83%88%e3%83%8a%e3%83%bc%e4%bc%81%e6%a5%ad%e8%80%85-%e3%81%94%e5%bf%9c%e5%8b%9f%e3%83%95%e3%82%a9%e3%83%bc%e3%83%a0/,092-260-7647,〒812-0011 福岡市博多区博多駅前 1-4-1 博多駅前第一生命ビル 5F,,,経岩宗高,,開発（エージェント）,E：未接触,未契約,,,
リッチワールド,,https://www.richwoll.jp/reccon/partner,050-6869-6338,東京都豊島区南大塚2丁目11番10号,,https://www.richwoll.jp/contact,経岩宗高,,開発（エージェント）,E：未接触,未契約,,,
アクシーズ,,https://www.axeeds.com/partner/,03-6214-0017,	〒103-0021　東京都中央区日本橋本石町3-2-7　常盤ビル４階,,https://www.axeeds.com/contact/,経岩宗高,,開発（エージェント）,E：未接触,未契約,,,
サンテック,,http://www.suntec.co.jp/%E5%8B%9F%E9%9B%86%E5%86%85%E5%AE%B9/,0567-32- 1126,〒496－0915 愛知県愛西市本部田町宮ノ切105番地,,http://www.suntec.co.jp/%e5%96%b6%e6%a5%ad%e7%9b%b8%e8%ab%87%e7%aa%93%e5%8f%a3/,経岩宗高,,開発（プロダクト）,E：未接触,未契約,,,
World-Line,,https://world-line.org/achv/sample-post2/,048-711-3371,〒330-0075 埼玉県さいたま市浦和区針ヶ谷3-2-10　301,info@world-line.net,,経岩宗高,,開発（エージェント）,E：未接触,未契約,,,
ソーシャルマーケティング,,https://social-marketing.jp/partner/businesspartner/system-recruitment/,,〒354-0013 埼玉県富士見市水谷東3-36-10,,https://social-marketing.jp/contact/,経岩宗高,,開発,E：未接触,未契約,,,
チェルト,,https://www.certo-co.com/partnership/,06-4395-5110,〒550-0005 大阪市西区西本町1-4-1 オリックス本町ビル9階,,https://www.certo-co.com/contact/,経岩宗高,,開発（エージェント）,E：未接触,未契約,,,
DBJデジタルソリューションズ,,https://www.dbj-digital.jp/bp/,03-5295-0571,〒101-0047 東京都千代田区内神田2-15-9 The Kanda282,,https://www.dbj-digital.jp/contact/,経岩宗高,,開発（プロダクト）,E：未接触,未契約,,,
SOFTG,,https://www.softg.co.jp/#forpartner,03-5445-1781,〒105-0014  東京都港区芝2丁目29番13号 KINREIビル3階,,,経岩宗高,,開発,E：未接触,未契約,,,
オーミック,,https://www.omik.co.jp/partner/,03-5809-1823,〒 111-0052 東京都台東区柳橋2-2-3　柳橋鈴和ビル6F,bp@omik.co.jp,https://www.omik.co.jp/contact/,経岩宗高,,開発（エージェント）,E：未接触,未契約,,,
エムトラッド,,https://mtrad.co.jp/partner/,03-3538-8185,〒104-0031 東京都中央区京橋1-11-1 関電不動産八重洲ビル2F,,https://mtrad.co.jp/contact/,経岩宗高,,開発,E：未接触,未契約,,,
アドフォース,,https://www.adforce.co.jp/partner/index.html,0294-27-7815,〒317-0073 茨城県日立市幸町1-5-12,,https://www.adforce.co.jp/contact/index.html,経岩宗高,,開発（エージェント）,E：未接触,未契約,,,
SKYM,,https://skym.co.jp/partnership,03-5309-2175,〒170-0013 東京都豊島区東池袋2-38-23 SAMビル5B,info@skym.co.jp,https://skym.co.jp/contact,経岩宗高,,開発（エージェント）,E：未接触,未契約,,,
Japonline,,https://www.japon-line.co.jp/recruit/workwithus/,,福岡市中央区白金1-5-21 RITA白金4F,,https://www.japon-line.co.jp/contact,経岩宗高,,開発,E：未接触,未契約,,,
イズム,大口弘孝,https://ism-sol.jp/partner/,,〒104-0042 東京都中央区入船3-1-5 SKM GINZAEAST BLDG 2F,,https://ism-sol.jp/contact/,経岩宗高,,開発（エージェント）,E：未接触,未契約,,,
For Fileds,,https://for-fields.co.jp/business_ses.html,03-6779-8359,東京都港区芝一丁目15番5号　リオテック芝ビル7F,,https://for-fields.co.jp/mail/contact.html,経岩宗高,,開発（エージェント）,E：未接触,未契約,,,
プラス・フリー,,https://www.plus-free.co.jp/contact/,,〒101-0061 東京都千代田区神田三崎町2－14－2 川口屋ビル5階,,https://www.plus-free.co.jp/contact/,経岩宗高,,開発（エージェント）,E：未接触,未契約,,,
アイオス,,https://www.ios-net.co.jp/bp/,03-5843-7651,〒105-5115 東京都港区浜松町二丁目4番1号 世界貿易センタービルディング南館15階,ios-contact@ios-net.co.jp,https://www.ios-net.co.jp/contact/,経岩宗高,,開発（プロダクト）,E：未接触,未契約,,,
システムクリエート,,https://www.syscr.co.jp/contact/,052-451-7310,〒453-0015 愛知県名古屋市中村区椿町19番7号　チサンマンション椿町 7階,,https://www.syscr.co.jp/contact/,経岩宗高,,開発,E：未接触,未契約,,,
FutureRays,,https://www.bemac-fr.com/archives/pickup/business-partner,06-6130-8002,〒530-0047　大阪府大阪市北区西天満2-8-1　大江ビルヂング217号室,,https://www.bemac-fr.com/contact,経岩宗高,,開発,E：未接触,未契約,,,
イグザート365,,http://www.exert365.co.jp/,03-6403-7730,東京都品川区西五反田1-26-2　五反田サンハイツビル2階,,https://www.exert365.co.jp/form.php,経岩宗高,,開発,E：未接触,未契約,,,
ヴィップシステム,,https://www.vips.co.jp/partner/,,〒100-0011 東京都千代田区内幸町2-2-3 日比谷国際ビル18階,,https://www.vips.co.jp/contact/,経岩宗高,,開発,E：未接触,未契約,,,
Life Integral,,https://lifeintegral.co.jp/bp,03-6820-1065,〒170-0013 東京都豊島区東池袋1-44-10 タイガースビル 306,contact@lifeintegral.co.jp,https://lifeintegral.co.jp/businessContact,経岩宗高,,開発（プロダクト）,E：未接触,未契約,SESもあり,,
ラウンドプラス,,https://round-plus.co.jp/partners.html,,東京都中央区日本橋室町1丁目11番12号　日本橋水野ビル7階,,https://round-plus.co.jp/Inquiries.html,経岩宗高,,開発,E：未接触,未契約,,,
Life Arc System,,https://www.lifearcsystem.co.jp/recruit/partner.php,,〒450-6390 愛知県名古屋市中村区名駅1-1-1 JPタワー21階,,https://www.lifearcsystem.co.jp/contact/,経岩宗高,,開発,E：未接触,未契約,,,
ネクストプロデュース,,https://next-produce.com/partner-recruitment/,03-6721-7215,〒213-0001 神奈川県川崎市高津区溝口2-21-2,,https://next-produce.com/contact/,経岩宗高,,開発（エージェント）,E：未接触,未契約,,,
ビズメイツ株式会社,,https://www.bizmates.co.jp/,,〒101-0041 東京都千代田区神田須田町1-7-9 VORT秋葉原maxim 10階,,https://www.bizmates.co.jp/inquiry-corp/,経岩宗高,,プロダクト,E：未接触,未契約,"グローバル×IT人材特化の、人材エージェントとダイレクトリクルーティングプラットフォームサービスを運営しております。

下記のような人材をご紹介しております。


【職種】
エンジニア、PjM、PdM、QA、デザイナー、ITコンサルタント
【言語（言葉）】
日本語ビジネスレベルの登録者が半数以上、
英語ビジネスレベル以上が9割
【経験】
業界経験3年以上の方
【国籍】
80か国
",,
株式会社グロースX,,https://grtx.jp/,03-6555-2790,〒150-0022　東京都渋谷区恵比寿南3-2-13 リードシー恵比寿ビルB1,,https://grtx.jp/#-contact,経岩宗高,,プロダクト,E：未接触,未契約,"業績アップのための人材育成サービス「グロースＸ」を提供。

【グロースＸ マーケティング】
事業会社様には「マーケティング力向上による売上アップ」、マーケティング支援会社様には「営業の提案力アップによる売上アップ」「CSのスキルアップによる満足度向上によるLTV向上」のためにご活用いただいているサービスです。

【グロースＸ AI・DX人材】
「文系社員」でも、自社業務の効率化・改善のためのAI企画を立案できるようになるサービスです。
",,
rayout株式会社,,https://rayout-inc.com/,03-6804-8146,〒 151-0053 東京都渋谷区代々木4丁目29-3 西参道梅村ビル3F,,https://rayout-inc.com/contact/,経岩宗高,,プロダクト,E：未接触,未契約,"①コミュニケーションデザイン事業
「ビジネスの課題をクリエイティブの力で解決する」

どれだけカッコイイ制作するか、ではなく本質的な課題を解決するクリエイティブを生み出すかを徹底しています。
【クリエイティブパートナー】の3つのポイント
①目指すは「社内のクリエイティブ担当」
外部に相談するには社内での話し合いが足りてないな・・・
ではなく、思いついた時に気軽に相談できる社内のクリエイティ部チームのような存在です。
②企画提案まで無料
課題のキャッチアップをしっかり行い、
300社・1500件以上のケーススタディ（実績）を元に企画のご提案をいたします。
③リピート率80%以上
本質的な課題を解決するクリエイティブだからこそ、
納得感を持ってご発注頂いております。
こんな思いやご希望があれば是非お問合せください。
・クリエイティブ担当がいない
・漠然とクリエイティブ案はあるが社内だけだと進まない
・他社事例、ケーススタディだけ聞いてみたい
・無料で企画提案してほしい　etc


② Saas事業　〜すべての企業にクリエイティブチームを〜

人件費などのランニングコストをかけずに自社のクリエイティブ制作チームを組成できるサービス『MiLK BOX』を運営しております。
URL：https://milkbox-video.com/landing

このサービスを使えば、自社のチームのように動かせるクリエイティブチームを月額3万円で持つことができます。

広告代理店や制作会社様を初め、月に5件以上のクリエイティブ制作のお仕事がある事業会社様に、

・コスト削減
・制作物のクオリティUP
・業務効率化

を目的にご利用いただいております。


↓会社紹介資料
https://www.canva.com/design/DAFNHXa7cLM/EHu12pqtMDESLpei1mhEVQ/view?utm_content=DAFNHXa7cLM&utm_campaign=designshare&utm_medium=link&utm_source=publishsharelink",,
ZaPASS JAPAN 株式会社,,https://zapass.co/,,"
東京都千代田区平河町2-5-3",info.zapass@zapass.co,https://zapass.co/contact,経岩宗高,,プロダクト,E：未接触,未契約,"コーチングサービスを提供しております。
特に法人様向けには、マネジメントにおける課題解決を目的に導入いただいております。

−−−−−−

▼事業詳細
https://zapass.co/business-coaching
最少人数1名、月3万円からご利用可能です

▼セッションテーマ例
・メンバーとのコミュニケーション改善
・マネージャー自身のパフォーマンス改善
・マネージャーのメンタルヘルス、ウェルビーイング
・新任マネージャー向けのオンボーディング

▼導入事例
・ヤフー株式会社
『コーチングによる内省がVUCAを乗り切る鍵になる―挑戦を続けるヤフーの人事戦略』
https://zapass.co/blog/yahoo

・株式会社ログラス
『急成長した組織で問われる、創業メンバーの存在意義。ログラスCTOの葛藤を支えたコーチング』
https://zapass.co/blog/loglass

・株式会社INPEX
『本音を出せる場の大切さに気づき、部下との関わりも変化。コーチングが後押ししたINPEX管理職の変容とは』
https://zapass.co/blog/inpex

・株式会社マクアケ
『顧客と向き合い、互いに感情を出し合うことが成功への鍵 ―コーチングを学ぶことで見えたMakuakeキュレーターの本質』
https://zapass.co/blog/makuake

−−−−−−

上記以外にも、集合型研修のご提供を行っております。
また、私が複数社の経営に携わっていることから、「リモートワーク×ハイクラス層」をコンセプトにした中途採用支援や、SNS活用を中心としたWebマーケティング支援の領域もサポート可能です。

多くの方々とお話しできる機会をいただければと思っておりますので、よろしくお願いいたします。",,
株式会社エボレボ,,https://evorevo.co.jp/,,〒151-0073 東京都渋谷区笹塚三丁目25−８ LANAICOMFORT24 104,,https://evorevo.co.jp/contact/,経岩宗高,,プロダクト,E：未接触,未契約,"・農機具シェアリングプラットフォーム「アグリコム」の運営
・HP制作/WEBコンサル/SEO対策/WEB広告運用
・経営コンサル",,
